Perfume,Brand,Gender,Year,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,Rating Value,Rating Count
downtown,calvin-klein,women,2013.0,"pear, plum, italian lemon, bergamot, tunisian neroli","gardenia, pink pepper, violet leaf","musk, texas cedar, incense, vetiver",fruity,white floral,citrus,sweet,musky,3.46,1784
roses-chocolate,mancera,unisex,2013.0,"peach, black currant, mandarin orange, bergamot","dark chocolate, rose, violet","vanilla, white musk, cedar",chocolate,powdery,sweet,rose,warm spicy,3.46,930
prada-candy-sugar-pop,prada,women,2018.0,"red apple, citruses, bergamot leaf, bergamot","white peach, floral notes","vanilla, caramel",vanilla,caramel,sweet,fruity,citrus,3.46,591
manhattan,roja-dove,unisex,2021.0,"bergamot, basil, lavender","coconut, heliotrope, violet, jasmine, may rose","tobacco, clove, vanilla, patchouli, cinnamon, ginger, musk, benzoin, pink pepper, pine, cedar, vetiver, oakmoss",warm spicy,woody,vanilla,sweet,aromatic,3.46,91
emporio-armani-in-love-with-you-freeze,giorgio-armani,women,2020.0,"mandarin orange, cherry, bergamot, pear","peony, jasmine sambac, lily-of-the-valley","patchouli, woody notes, white musk, vetiver",woody,patchouli,citrus,floral,fresh,3.47,436
infusion-de-figue,prada,unisex,2023.0,mandarin orange,fig,"galbanum, mastic or lentisque",fruity,green,aromatic,balsamic,sweet,3.47,188
zara-vetiver,zara,men,2016.0,"bergamot, tangerine, grapefruit",vetiver,"woodsy notes, musk",citrus,woody,aromatic,earthy,fresh spicy,3.47,30
omnia-by-mary-katrantzou,bvlgari,women,2021.0,"fig leaf, mandarin orange","orange blossom, gardenia","musk, white woods",white floral,citrus,green,woody,musky,3.48,192
calvin-klein-women,calvin-klein,women,2018.0,"grapefruit, eucalyptus, bergamot, lemon, black pepper","orange blossom, tea, jasmine, magnolia, hedione, raspberry","cedar, ambroxan, white musk, cashmeran, olibanum, violet",citrus,woody,fresh spicy,white floral,musky,3.48,1597
eternity-for-men-reflections,calvin-klein,men,2023.0,absinthe,chocolate,"oakmoss, sandalwood",aromatic,chocolate,woody,warm spicy,mossy,3.48,69
